vessel_id,vessel_name,vessel_type,build_year,flag_state,vessel_age,n_inspections,n_deficiencies,repeat_count,max_repeat,top_category,concentration,trend,open_deficiencies,overdue_maintenance,open_audit,overdue_audit,known_issues_unresolved,known_issue_occurrences,equipment_repeats,recent_joiners,avg_experience
V001,MV Alpha,Bulk Carrier,2008,Panama,18,4,28,14,9,Fire Safety,0.5,7,10,11,3,1,3,20,3,6,167.1
V002,MV Beta,Oil Tanker,2009,Liberia,17,4,14,4,2,Fire Safety,0.286,1,3,4,1,3,1,1,4,0,128.6
V003,MV Gamma,Container Ship,2010,Singapore,16,4,14,3,3,Structural,0.286,-1,3,4,4,0,2,2,5,0,166.8
V004,MV Delta,Chemical Tanker,2011,Marshall Islands,15,4,18,9,4,Navigation,0.722,5,5,7,4,1,3,14,3,2,190.2
V005,MV Echo,LNG Carrier,2012,Malta,14,4,10,2,2,Life Saving,0.3,-3,0,4,0,4,3,4,2,1,169.8
V006,MV Falcon,Bulk Carrier,2013,Panama,13,4,11,2,2,Fire Safety,0.273,-2,2,5,2,1,1,1,2,1,165.8
V007,MV Horizon,Oil Tanker,2014,Liberia,12,4,14,5,4,Navigation,0.357,1,1,8,1,0,0,0,5,0,153.0
V008,MV Orion,Container Ship,2015,Singapore,11,4,10,3,2,Structural,0.4,1,1,6,1,2,0,0,3,1,156.0
V009,MV Pacific,Chemical Tanker,2016,Marshall Islands,10,4,11,1,2,Machinery,0.455,-1,1,4,4,2,2,2,4,4,151.5
V010,MV Quantum,LNG Carrier,2017,Malta,9,4,15,4,2,Machinery,0.267,2,1,6,4,1,3,5,1,1,184.6
V011,MV Ranger,Bulk Carrier,2018,Panama,8,4,13,3,3,Pollution Prevention,0.385,2,3,3,1,3,2,2,3,1,131.3
V012,MV Sirius,Oil Tanker,2019,Liberia,7,4,18,3,3,Fire Safety,0.278,0,3,6,3,2,3,3,4,0,197.5
V013,MV Titan,Container Ship,2020,Singapore,6,4,15,5,3,ISM,0.267,2,0,5,0,7,4,7,2,0,173.8
V014,MV Unity,Chemical Tanker,2021,Marshall Islands,5,4,14,3,2,ISM,0.214,2,2,8,1,1,1,2,4,0,155.8
V015,MV Vega,LNG Carrier,2022,Malta,4,4,14,3,2,Fire Safety,0.214,1,3,6,2,1,1,1,2,2,156.3
V016,MV Voyager,Bulk Carrier,2023,Panama,3,4,10,2,2,Navigation,0.3,2,1,7,2,2,2,2,4,0,125.1
V017,MV Wave,Oil Tanker,2007,Liberia,19,4,16,2,3,Fire Safety,0.25,0,3,6,1,3,2,3,5,1,134.8
V018,MV Zenith,Container Ship,2008,Singapore,18,4,11,4,2,Navigation,0.273,-1,1,6,1,3,1,1,2,1,173.4
V019,MV Atlas,Chemical Tanker,2009,Marshall Islands,17,4,15,4,3,Navigation,0.267,2,3,8,1,1,1,1,6,2,146.7
V020,MV Neptune,LNG Carrier,2010,Malta,16,4,15,2,2,ISM,0.267,1,1,7,4,0,2,2,3,1,150.2
